stock_name,datetime,open,high,low,close,volume
AMZN,"2018-02-26 14:55:00",1515,1516,1515,1515,8432
AMZN,"2018-02-26 14:56:00",1515,1516,1514,1515,3300
AMZN,"2018-02-26 14:57:00",1514,1515,1514,1514,2296
AMZN,"2018-02-26 14:58:00",1515,1515,1515,1515,3621
AMZN,"2018-02-26 14:59:00",1515,1515,1514,1514,2900
AMZN,"2018-02-26 15:00:00",1515,1515,1514,1515,1350
AMZN,"2018-02-26 15:01:00",1514,1514,1514,1514,7417
AMZN,"2018-02-26 15:02:00",1514,1514,1514,1514,3610
AMZN,"2018-02-26 15:03:00",1514,1515,1514,1514,6142
AMZN,"2018-02-26 15:04:00",1515,1515,1514,1515,8028
AMZN,"2018-02-26 15:05:00",1515,1515,1515,1515,4680
AMZN,"2018-02-26 15:06:00",1515,1516,1515,1515,2730
AMZN,"2018-02-26 15:07:00",1515,1516,1515,1515,4415
AMZN,"2018-02-26 15:08:00",1516,1516,1515,1516,11680
AMZN,"2018-02-26 15:09:00",1516,1517,1516,1517,16478
AMZN,"2018-02-26 15:10:00",1517,1517,1516,1517,5276
AMZN,"2018-02-26 15:11:00",1516,1517,1516,1516,3780
AMZN,"2018-02-26 15:12:00",1516,1517,1516,1516,4916
AMZN,"2018-02-26 15:13:00",1516,1516,1516,1516,1705
AMZN,"2018-02-26 15:14:00",1516,1516,1516,1516,3663
AMZN,"2018-02-26 15:15:00",1516,1516,1516,1516,2654
AMZN,"2018-02-26 15:16:00",1516,1517,1515,1517,15782
AMZN,"2018-02-26 15:17:00",1516,1517,1516,1517,8047
AMZN,"2018-02-26 15:18:00",1517,1517,1516,1517,8822
AMZN,"2018-02-26 15:19:00",1516,1517,1516,1517,2000
AMZN,"2018-02-26 15:20:00",1517,1517,1517,1517,3341
AMZN,"2018-02-26 15:21:00",1517,1518,1517,1517,6772
AMZN,"2018-02-26 15:22:00",1517,1517,1516,1517,1411
AMZN,"2018-02-26 15:23:00",1517,1517,1516,1517,6291
AMZN,"2018-02-26 15:24:00",1517,1517,1516,1517,4435
