stock_name,datetime,open,high,low,close,volume
GOOG,"2018-02-26 14:02:00",1135.92,1136,1135.8802,1135.8802,1210
GOOG,"2018-02-26 14:03:00",1135.97,1136.31,1135.92,1136.16,2200
GOOG,"2018-02-26 14:04:00",1136.17,1136.83,1136.17,1136.6,2400
GOOG,"2018-02-26 14:05:00",1136.6975,1137.04,1136.6975,1137,4556
GOOG,"2018-02-26 14:06:00",1137.21,1137.25,1136.855,1136.855,2356
GOOG,"2018-02-26 14:07:00",1136.7681,1137.42,1136.7681,1137.42,6940
GOOG,"2018-02-26 14:08:00",1137.2608,1137.54,1137.06,1137.54,2868
GOOG,"2018-02-26 14:09:00",1137.214,1137.59,1136.98,1136.98,2472
GOOG,"2018-02-26 14:10:00",1136.6001,1137.28,1136.6001,1137.28,893
GOOG,"2018-02-26 14:11:00",1137.0416,1137.0416,1137.0416,1137.0416,234
GOOG,"2018-02-26 14:12:00",1137.08,1137.3001,1137.08,1137.19,1500
GOOG,"2018-02-26 14:13:00",1137.07,1137.255,1136.98,1137.255,500
GOOG,"2018-02-26 14:14:00",1137.35,1137.68,1137.17,1137.44,1290
GOOG,"2018-02-26 14:15:00",1137.57,1138,1133.73,1138,1936
GOOG,"2018-02-26 14:16:00",1137.7505,1137.815,1137.66,1137.815,1000
GOOG,"2018-02-26 14:17:00",1137.9,1138.19,1137.46,1137.46,2993
GOOG,"2018-02-26 14:18:00",1137.4825,1137.715,1137.4825,1137.715,300
GOOG,"2018-02-26 14:19:00",1137.57,1138.235,1137.57,1138.235,631
GOOG,"2018-02-26 14:20:00",1138.235,1138.3502,1138.046,1138.16,950
GOOG,"2018-02-26 14:21:00",1138.1239,1138.294,1138.1239,1138.294,1739
GOOG,"2018-02-26 14:22:00",1138.38,1138.38,1138.07,1138.07,800
GOOG,"2018-02-26 14:23:00",1137.67,1138,1137.67,1137.875,644
GOOG,"2018-02-26 14:24:00",1138.26,1138.26,1138.26,1138.26,100
GOOG,"2018-02-26 14:25:00",1138.25,1138.25,1137.86,1137.86,312
GOOG,"2018-02-26 14:26:00",1138.11,1138.11,1137.75,1137.75,538
GOOG,"2018-02-26 14:27:00",1137.76,1137.8533,1136.99,1136.99,2622
GOOG,"2018-02-26 14:28:00",1136.93,1137.07,1136.5471,1137.07,1520
GOOG,"2018-02-26 14:29:00",1136.87,1136.87,1136.28,1136.28,600
GOOG,"2018-02-26 14:30:00",1136.985,1136.985,1136.355,1136.734,589
GOOG,"2018-02-26 14:31:00",1136.99,1137.21,1136.66,1136.66,1121
GOOG,"2018-02-26 14:32:00",1137.26,1137.71,1137.26,1137.71,400
GOOG,"2018-02-26 14:33:00",1137.8,1137.89,1137.5711,1137.5711,754
GOOG,"2018-02-26 14:34:00",1137.59,1137.59,1137.05,1137.57,500
GOOG,"2018-02-26 14:35:00",1138.08,1138.17,1137.95,1137.95,772
GOOG,"2018-02-26 14:36:00",1137.63,1138.1575,1137.62,1137.81,600
